date,investment_amount,stock_selection,returns_amount
2016-04-01,7941.76978864173,"['TSLA', 'MSFT', 'DIS']",98.75256339068619
2016-04-04,7974.633253080907,"['TSLA', 'FB', 'V']",32.86346443917682
2016-04-05,8005.188308104647,"['AAPL', 'TSLA', 'V']",30.55505502374035
2016-04-06,8135.6845126732915,"['TSLA', 'JNJ', 'INTC']",130.49620456864432
2016-04-07,8028.183317950399,"['TSLA', 'FB', 'V']",-107.50119472289225
2016-04-08,7959.386332678197,"['JNJ', 'BAC', 'FB']",-68.79698527220262
2016-04-11,7969.25539085954,"['JPM', 'DIS', 'V']",9.869058181343462
2016-04-12,8114.593715734937,"['JPM', 'AAPL', 'BAC']",145.33832487539712
2016-04-13,8210.516983270909,"['AAPL', 'DIS', 'FB']",95.92326753597172
2016-04-14,8193.85709215045,"['JPM', 'TSLA', 'DIS']",-16.65989112045827
2016-04-15,8124.367683636455,"['JPM', 'FB', 'V']",-69.48940851399584
